"gene_id","baseMean_T20d","baseMean_T10d","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mper.PacBio.PsGc_1.g2234",20.7781124680017,1.02872359012457,5.87065804814143,4.35488159863687,1.06699931071126,4.08142868970918,4.47597110921987e-05,0.00212608627687944
"Mper.PacBio.PsGc_1.g1184",2.46679511015876,11.7940718673461,7.58301640968667,-2.24931390330093,0.63901715293699,-3.51995856912893,0.000431614213291533,0.0136677834208985
"Mper.PacBio.PsGc_3.g660",3.45882795697442,10.9951050393627,6.66434935986667,-1.63830482841858,0.526296279758798,-3.1128945641976,0.00185262189965364,0.0429854345070464
"Mper.PacBio.PsGc_1.g1729",248.015796608272,587.065920760771,525.477794443924,-1.2425423687992,0.262766077134251,-4.728701597826,2.25960193418435e-06,0.000214662183747514
"Mper.PacBio.PsGc_5.g1298",67.9457221236898,154.431424684117,156.438778728766,-1.18204699666384,0.265780099751253,-4.44746238627396,8.68906678703024e-06,0.000550307563178582
"Mper.PacBio.PsGc_1.g421",143.45849019042,298.622509108938,274.146521286571,-1.05570755306156,0.272635529317309,-3.87223028379718,0.000107843986341842,0.00409807148099001
"Mper.PacBio.PsGc_9.g1337",439.378411007127,224.231975751395,305.41228149804,0.969387442962997,0.203678930212474,4.7593898983648,1.94179013245464e-06,0.000214662183747514
"Mper.PacBio.PsGc_0.g1121",37.1708583825561,21.5330140179065,23.6685191962463,0.785217541632527,0.26378054345265,2.97678339484306,0.00291289729463693,0.0481395791898863
"Mper.PacBio.PsGc_0.g755",35.2766285688528,59.7208790850618,54.9506574118639,-0.757197583249543,0.246932148055704,-3.0664196185534,0.00216639048444478,0.0429854345070464
"Mper.PacBio.PsGc_3.g1357",108.952266893839,64.6080211664724,80.836154283965,0.751650605317238,0.220818207110078,3.40393401048917,0.000664227980958141,0.0180290451974352
